"Current account balance
U.S. dollars (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,1.481,1.348,1.915,1.864,1.444,5.424,3.477,5.018,4.51,4.754,2.205,0.291,1.35,0.744,1.627,1.431,2.237,2.209,2.247,,,,,,,
Albania,0.001,-0.01,-0.052,-0.037,-0.03,-0.027,0.001,0.007,-0.025,-0.075,-0.096,-0.165,-0.069,0.024,-0.087,-0.057,-0.253,-0.295,-0.178,-0.062,-0.246,-0.248,-0.443,-0.432,-0.42,-0.733,-0.592,-1.13,-2.031,-1.853,-1.351,-1.666,-1.257,-1.183,-1.43,-0.981,-0.898,-0.978,-1.024,-1.166,-1.315,-1.403,-1.578,-1.525,-1.58,-1.669,-1.743,-1.824
Algeria,0.242,-0.209,-0.436,-0.085,0.074,1.015,-2.23,0.141,-1.9,-1.033,1.35,2.39,1.29,0.81,-1.839,-2.237,1.248,3.45,-0.91,0.02,9.142,7.06,4.359,8.808,11.116,21.183,28.95,30.6,34.449,0.411,12.157,19.802,12.29,0.835,-9.436,-27.29,-26.473,-22.331,-16.914,-16.955,-18.711,-4.591,5.528,-0.418,-5.329,-7.28,-9.976,-11.509
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.568,0.422,0.531,0.575,0.622,0.669,0.714,0.761,0.81
Angola,0.07,-0.183,-0.494,-0.359,-0.171,0.195,-0.303,0.447,-0.469,-0.132,-0.236,-0.58,-0.735,-0.669,-0.34,-0.295,3.266,-0.884,-1.867,-1.71,0.796,-1.431,-0.15,-0.72,0.681,5.138,10.69,10.581,7.194,-7.572,7.506,13.085,13.853,8.348,-3.746,-10.272,-3.085,-0.633,7.403,5.137,0.872,8.443,13.78,6.566,4.066,2.087,0.817,-0.421
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.029,-0.035,-0.118,-0.234,-0.127,-0.252,-0.287,-0.383,-0.297,-0.306,-0.272,-0.253,-0.226
Argentina,-2.573,-5.721,-2.917,-2.436,-2.495,-0.952,-2.859,-4.235,-1.572,1.095,4.665,-0.429,-6.468,-8.043,-10.981,-5.104,-7.157,-12.288,-14.641,-12.094,-9.144,-3.952,8.621,7.972,2.966,4.929,6.499,6.046,5.424,7.251,-1.623,-5.341,-2.139,-13.125,-9.178,-17.623,-15.105,-31.149,-27.085,-3.709,3.313,6.321,3.083,2.04,1.67,2.331,3.661,4.479
Armenia,,,,,,,,,,,,,-0.05,-0.05,0.025,-0.218,-0.291,-0.317,-0.416,-0.313,-0.302,-0.221,-0.148,-0.174,-0.079,-0.124,-0.153,-0.677,-1.659,-1.426,-1.261,-1.059,-1.058,-0.812,-0.9,-0.283,-0.107,-0.175,-0.876,-1.002,-0.479,-0.337,-0.878,-0.933,-1.011,-1.065,-1.136,-1.221
Aruba,,,,,,,,,,,,,,,,,,,,-0.435,0.214,0.307,-0.339,-0.168,0.274,0.116,0.314,0.26,0,0.177,-0.46,-0.264,0.094,-0.326,-0.134,0.115,0.136,0.03,-0.017,0.083,-0.326,0.273,-0.088,-0.138,0.069,0,-0.01,0.051
Australia,-3.856,-7.643,-7.681,-5.648,-8.175,-8.478,-9.163,-7.223,-10.407,-18.534,-15.739,-10.668,-10.388,-9.384,-16.001,-18.927,-14.715,-12.44,-18.705,-22.543,-16.369,-8.462,-16.131,-28.803,-41.384,-44.143,-46.311,-63.992,-51.015,-45.184,-45.912,-45.335,-68.35,-51.103,-44.289,-57.18,-41.414,-35.561,-30.322,8.408,35.224,57.761,51.966,9.759,6.72,4.603,1.361,-3.053
Austria,-3.865,-3.042,0.703,0.276,-0.178,-0.158,0.204,-0.263,-0.242,0.248,1.166,0.061,-0.753,-1.013,-2.992,-6.9,-6.736,-5.424,-4.048,-4.917,-1.393,-1.573,4.504,4.06,6.255,7.143,11.08,14.8,19.397,10.42,11.207,7.038,6.074,8.359,10.952,6.591,10.78,5.732,4.117,9.311,8.221,-2.819,-2.888,3.939,7.669,10.638,12.652,13.349
Azerbaijan,,,,,,,,,,,,,-0.198,-0.16,-0.123,-0.318,-0.823,-0.916,-1.364,-0.6,-0.187,-0.052,-0.768,-2.021,-2.589,0.167,3.708,9.019,16.454,10.173,15.04,17.146,14.916,12.318,10.431,-0.222,-1.363,1.685,6.051,4.365,-0.228,8.291,27.262,20.803,17.36,15.521,14.189,13.724
"Bahamas, The",-0.015,-0.082,-0.065,-0.039,-0.048,-0.04,-0.032,-0.055,-0.067,-0.096,-0.04,-0.182,0.033,0.286,0.204,0.131,0.018,-0.339,-0.689,0.104,-0.122,-0.319,0.007,-0.015,0.145,-0.305,-1.031,-0.954,-0.872,-0.808,-0.796,-1.101,-1.532,-1.516,-2.193,-1.478,-1.473,-1.698,-1.199,-0.359,-2.33,-2.149,-2.288,-1.719,-1.242,-1.084,-0.954,-0.842
Bahrain,0.184,0.43,0.426,0.103,0.218,0.039,-0.069,-0.201,0.192,-0.193,0.07,-0.602,-0.827,-0.338,-0.255,0.237,0.26,-0.031,-0.778,-0.022,0.846,0.226,-0.056,0.197,0.474,1.476,2.189,2.908,2.257,0.56,0.771,2.524,2.578,2.41,1.523,-0.752,-1.493,-1.45,-2.435,-0.794,-3.245,2.602,4.76,3.52,2.439,1.707,1.232,0.895
Bangladesh,-0.202,-0.468,-0.675,-0.531,-0.512,-0.685,-0.664,-0.538,-0.833,-1.217,-1.104,-0.646,-0.236,-0.129,-0.227,-0.616,-0.953,-0.831,-0.568,-0.35,-0.337,-1.018,0.157,0.176,0.176,-0.557,0.572,0.957,0.278,2.086,3.24,-2.227,-0.447,2.388,1.406,3.492,4.262,-1.331,-9.567,-4.491,-5.435,-4.575,-12.682,-12.532,-12.837,-12.719,-13.438,-14.803
Barbados,-0.027,-0.126,-0.042,-0.052,0.011,0.005,-0.016,-0.054,0.002,-0.003,-0.038,-0.024,0.145,0.069,0.14,0.058,0.089,-0.035,-0.086,-0.136,-0.112,-0.114,-0.162,-0.119,-0.361,-0.401,-0.442,-0.226,-0.461,-0.269,-0.209,-0.55,-0.391,-0.391,-0.433,-0.289,-0.206,-0.189,-0.201,-0.162,-0.323,-0.556,-0.682,-0.533,-0.433,-0.36,-0.32,-0.269
Belarus,,,,,,,,,,,,,0.222,-0.435,-0.444,-0.458,-0.516,-0.859,-1.017,-0.194,-0.459,-0.529,-0.326,-0.456,-1.192,0.459,-1.388,-3.013,-4.959,-6.133,-8.28,-5.053,-1.862,-7.567,-5.228,-1.831,-1.612,-0.952,0.023,-1.246,-0.259,1.843,-0.733,-0.589,-0.755,-0.627,-0.67,-0.644
Belgium,-4.938,-4.186,-2.607,-0.497,-0.055,0.675,3.069,2.801,3.599,3.604,3.637,4.763,6.664,11.251,12.6,15.391,13.836,13.842,13.255,20.07,9.393,7.896,11.622,10.806,11.434,7.701,7.554,7.044,-5.203,8,7.824,-10.15,-0.404,4.982,4.133,6.395,2.625,3.51,-4.466,0.859,4.383,5.582,3.076,5.929,7.852,9.14,10.823,13.038
Belize,-0.004,-0.005,-0.017,-0.012,-0.005,0.009,0.012,0.009,-0.003,-0.019,0.015,-0.026,-0.029,-0.049,-0.04,-0.017,-0.007,-0.032,-0.041,-0.062,-0.162,-0.19,-0.165,-0.184,-0.155,-0.151,-0.025,-0.052,-0.145,-0.083,-0.046,-0.02,-0.033,-0.073,-0.136,-0.175,-0.163,-0.158,-0.151,-0.185,-0.128,-0.159,-0.186,-0.19,-0.189,-0.187,-0.19,-0.193
Benin,-0.108,-0.264,-0.322,-0.159,-0.053,-0.041,-0.055,-0.037,-0.114,-0.015,-0.02,-0.235,-0.078,-0.06,0.011,-0.169,-0.041,-0.155,-0.133,-0.156,-0.081,-0.075,-0.157,-0.332,-0.289,-0.226,-0.217,-0.535,-0.538,-0.651,-0.531,-0.517,-0.577,-0.673,-0.886,-0.679,-0.354,-0.531,-0.649,-0.576,-0.274,-0.794,-1.068,-1.099,-1.135,-1.123,-1.128,-1.133
Bhutan,0.014,0.005,-0.071,-0.079,-0.094,-0.078,-0.093,-0.083,-0.057,-0.071,-0.028,-0.025,-0.07,-0.04,-0.034,0.045,0.045,0.018,0.039,0.009,-0.04,-0.039,-0.081,-0.138,-0.122,-0.235,-0.038,0.084,-0.111,-0.076,-0.319,-0.517,-0.388,-0.463,-0.484,-0.551,-0.624,-0.541,-0.462,-0.502,-0.301,-0.282,-0.28,-0.279,-0.179,-0.049,-0.035,0.006
Bolivia,-0.007,-0.279,-0.13,-0.101,-0.075,-0.296,-0.302,-0.401,-0.133,0.033,-0.196,-0.255,-0.406,-0.419,-0.238,-0.335,-0.333,-0.553,-0.667,-0.489,-0.446,-0.274,-0.35,0.084,0.325,0.622,1.317,1.591,1.993,0.814,0.874,0.537,1.97,1.054,0.57,-1.936,-1.907,-1.898,-1.725,-1.377,-0.141,0.217,-0.609,-0.853,-1.214,-1.574,-1.895,-2.273
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,-0.345,-0.501,-0.396,-0.743,-1.191,-1.631,-1.639,-1.844,-0.998,-1.45,-2.643,-1.131,-1.031,-1.767,-1.486,-0.968,-1.364,-0.826,-0.804,-0.876,-0.662,-0.565,-0.752,-0.536,-1.177,-0.981,-0.971,-1.029,-1.073,-1.141
