"Current account balance, percent of GDP (Percent of GDP)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,33.9,29.6,37.2,30.2,20.8,63.4,33.8,41.6,29.4,26.6,10.9,1.4,6.5,3.7,9,7.6,12.2,11.7,11.2,,,,,,,
Albania,0.1,-0.5,-2.3,-1.6,-1.3,-1.2,0.1,0.3,-1,-2.7,-4.3,-12.4,-8.2,1.7,-3.7,-2,-7.9,-13,-6.9,-1.9,-7.1,-6.3,-10.2,-7.7,-5.8,-9.1,-6.7,-10.6,-15.8,-15.4,-11.3,-12.9,-10.2,-9.3,-10.8,-8.6,-7.6,-7.5,-6.8,-7.6,-8.7,-7.7,-8.8,-8,-7.8,-7.7,-7.6,-7.5
Algeria,0.6,-0.5,-1,-0.2,0.1,1.7,-3.6,0.2,-3.7,-2,2.2,5.1,2.6,1.6,-4.3,-5.3,2.7,7.2,-1.9,0,16.7,12.9,7.7,13,13,20.5,24.7,22.7,20.1,0.3,7.5,9.9,5.9,0.4,-4.4,-16.4,-16.5,-13.1,-9.6,-9.9,-12.7,-2.8,2.9,-0.2,-2.6,-3.4,-4.5,-5
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14.6,15.9,16.9,17.4,17.8,18.3,18.7,19.2
Angola,1.1,-2.9,-8,-5.5,-2.5,2.3,-3.8,4.9,-4.8,-1.2,-1.9,-4.8,-7.8,-9.8,-6.8,-4.8,40.9,-9.4,-23.5,-22.7,7.1,-13.1,-1,-4,2.9,13.9,20.4,16.2,8.1,-10.8,9,11.7,10.8,6.1,-2.6,-8.8,-3.1,-0.5,7.3,6.1,1.5,11.3,11,4.9,2.9,1.4,0.5,-0.3
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2.2,-2.4,-8,-14.5,-7.5,-18.4,-19.7,-23.6,-16.8,-16.1,-13.5,-12,-10.2
Argentina,-1.1,-3,-3.1,-2.1,-1.9,-1,-2.4,-3.5,-1.1,1.2,3,-0.2,-2.5,-3,-3.8,-1.8,-2.4,-3.8,-4.4,-3.8,-2.9,-1.3,7.7,5.6,1.8,2.5,2.8,2.1,1.5,2.2,-0.4,-1,-0.4,-2.1,-1.6,-2.7,-2.7,-4.8,-5.2,-0.8,0.9,1.3,0.5,0.4,0.3,0.4,0.6,0.7
Armenia,,,,,,,,,,,,,-46.3,-6,3.8,-17,-18.2,-19.3,-22,-16.9,-15.8,-10.4,-6.2,-6.2,-2.2,-2.5,-2.4,-7.4,-14.2,-16.5,-13.6,-10.4,-10,-7.3,-7.8,-2.7,-1,-1.5,-7,-7.4,-3.8,-2.4,-6.2,-5.9,-5.9,-5.8,-5.8,-5.7
Aruba,,,,,,,,,,,,,,,,,,,,-25.3,11.4,16.2,-17.3,-8.2,12.1,4.9,12.7,9.7,0,6.9,-18.7,-10,3.6,-12,-4.8,3.9,4.6,1,-0.5,2.5,-13.1,9,-2.7,-4.1,2,0,-0.3,1.3
Australia,-2.4,-4.1,-4.1,-3.1,-4.1,-4.9,-5.1,-3.4,-3.8,-6,-4.9,-3.3,-3.3,-3,-4.5,-5,-3.5,-2.9,-4.9,-5.5,-4.1,-2.2,-3.8,-5.3,-6.3,-6,-5.9,-6.7,-4.8,-4.5,-3.7,-3,-4.4,-3.4,-3,-4.6,-3.3,-2.6,-2.1,0.6,2.6,3.5,3,0.5,0.4,0.2,0.1,-0.1
Austria,-4.8,-4.3,1,0.4,-0.3,-0.2,0.2,-0.2,-0.2,0.2,0.7,0,-0.4,-0.5,-1.5,-2.9,-2.8,-2.5,-1.9,-2.3,-0.7,-0.8,2.1,1.5,2.1,2.3,3.3,3.8,4.5,2.6,2.9,1.6,1.5,1.9,2.5,1.7,2.7,1.4,0.9,2.1,1.9,-0.6,-0.6,0.8,1.4,1.8,2.1,2.1
Azerbaijan,,,,,,,,,,,,,-16.6,-12.2,-5.5,-13.2,-25.9,-23.1,-31.9,-13.1,-3.5,-0.9,-12.3,-27.8,-29.8,1.3,17.6,27.3,33.6,23,28.4,26,21.4,16.6,13.9,-0.4,-3.6,4.1,12.8,9.1,-0.5,15.2,37.2,28.5,23.6,20.8,18.4,17.1
"Bahamas, The",-0.6,-3.1,-2.2,-1.2,-1.3,-1,-0.8,-1.2,-1.4,-1.7,-0.8,-3.5,0.6,5.6,3.8,2.3,0.3,-5.4,-10.1,1.4,-1.5,-3.8,0.1,-0.2,1.6,-3.1,-10.1,-9,-8.3,-8.1,-7.9,-10.9,-14.3,-14.4,-19.7,-12.4,-12.3,-13.7,-9.3,-2.7,-23.5,-19.3,-18.1,-12.6,-8.6,-7.2,-6.1,-5.2
Bahrain,5.1,10.6,10,2.4,4.8,0.9,-2.1,-5.6,4.3,-4.1,1.4,-11.6,-15.2,-5.6,-4,3.5,3.7,-0.4,-11.1,-0.3,9.3,2.5,-0.6,1.8,3.6,9.2,11.8,13.4,8.8,2.4,3,8.8,8.4,7.4,4.6,-2.4,-4.6,-4.1,-6.4,-2.1,-9.3,6.7,10.8,7.7,5.2,3.5,2.4,1.7
Bangladesh,-0.9,-2.1,-3.2,-2.6,-2.3,-2.8,-2.6,-2,-2.8,-3.8,-3.2,-1.8,-0.6,-0.3,-0.6,-1.4,-2,-1.7,-1.1,-0.7,-0.6,-1.9,0.3,0.3,0.3,-0.8,0.8,1.2,0.3,2,2.8,-1.7,-0.3,1.6,0.8,1.8,1.9,-0.5,-3.5,-1.5,-1.7,-1.3,-3.2,-2.9,-2.7,-2.4,-2.3,-2.4
Barbados,-2.7,-11.3,-3.6,-4.2,0.8,0.3,-1,-3.1,0.1,-0.1,-1.9,-1.2,7.4,3.3,6.5,2.6,3.7,-1.4,-3,-4.6,-3.7,-3.7,-5.2,-3.7,-10.5,-10.5,-10.5,-4.8,-9.6,-6,-4.6,-11.8,-8.5,-8.4,-9.2,-6.1,-4.3,-3.8,-4,-3.1,-6.9,-11.4,-12.3,-9,-6.9,-5.5,-4.7,-3.8
Belarus,,,,,,,,,,,,,1.7,-3.8,-2.8,-4.4,-3.6,-6.1,-6.7,-1.6,-4.3,-4.1,-2.2,-2.5,-5,1.5,-3.6,-6.4,-7.9,-12.1,-14.5,-8.2,-2.8,-10,-6.6,-3.3,-3.4,-1.7,0,-1.9,-0.4,2.7,-1.2,-1,-1.2,-1,-1,-0.9
