"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,1050.992,1118.868,1113.148,1240.378,1306.705,1464.722,1512.004,1788.396,1908.187,2010.827,2317.687,2385.706,2516.011,2534.919,2400.615,2515.553,2449.569,2542.644,2456.289,,,,,,,
Albania,2155.361,2444.301,2614.754,2689.389,2783.011,2770.393,2927.299,2916.869,2921.8,3245.525,2976.254,2228.772,2128.303,2402.518,2701.027,3021.701,3377.971,3080.04,3411.117,3929.907,4325.59,4835.022,5148.558,5561.206,6050.646,6619.055,7271.782,7975.188,8805.047,9220.646,9725.55,10207.743,10526.271,10570.982,11259.261,11661.999,12077.602,13039.696,13894.731,14447.702,14127.997,15999.485,17383.163,18457.601,19615.088,20764.741,21967.463,23249.234
Algeria,4807.98,5257.375,5754.706,6102.674,6469.218,6722.106,6663.644,6606.802,6514.928,6923.03,7146.405,7122.672,7224.62,7072.624,7001.951,7274.612,7553.111,7639.758,7992.63,8236.77,8588.409,8914.443,9420.376,10145.84,10704.69,11517.753,11893.6,12437.935,12700.673,12741.339,13097.102,13480.048,13263.91,13003.307,12940,11944.989,11543.303,11644.063,11822.439,11893.882,11335.92,12109.695,13002.442,13525.894,13898.674,14236.607,14553.356,14903.395
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50887.54,52326.275,51193.13,50929.548,52686.154,52747.885,55695.334,56352.197,57550.886,58708.394,52451.572,58383.155,63599.56,65991.801,67797.785,68917.305,69964.09,71038.924
Angola,1222.206,1245.313,1288.183,1359.265,1454.373,1378.062,1406.395,1462.643,1564.645,1583.256,1544.606,1737.671,1922.26,2120.069,2323.25,2541.538,2794.31,2960.448,3042.925,3061.28,3132.296,3240.366,3631.64,3702.951,4095.947,4717.743,5266.909,5987.463,6586.081,6490.485,6687.066,6857.285,7623.612,7948.018,8507.964,7668.513,7449.176,7675.54,7471.446,7331.743,6803.89,6925.084,7359.579,7602.881,7848.264,8084.84,8331.116,8573.983
Antigua and Barbuda,3997.016,4577.959,4913.048,5457.846,6331.687,7150.883,8276.655,9203.058,10175.94,11232.968,12016.131,12590.004,12816.229,13507.343,14344.94,13638.543,14406.056,15031.031,15495.808,15903.648,16915.325,16232.981,16488.381,17665.522,18995.924,20648.659,23738.902,26364.466,26564.987,23266.434,21444.02,21223.826,20413.946,19531.897,19714.499,19498.26,20431.147,20231.285,21806.637,22928.742,18246.61,19620.787,21889.862,23435.284,24911.589,26099.112,26983.394,27612.916
Argentina,6172.506,6256.472,6327.151,6725.078,6988.092,6595.207,7117.301,7393.585,7413.917,7077.093,7094.54,7996.308,8899.403,9537.834,10178.731,9972.801,10589.852,11512.478,11955.652,11587.124,11633.001,11256.706,10089.08,11104.743,12303.2,13681.186,15090.274,16728.497,17567.283,16472.344,18063.91,19322.227,19641.353,20131.68,19683.772,20105.199,20307.87,23597.118,23290.635,22997.4,20763.821,23596.729,25822.258,27124.315,28273.601,29138.909,30006.354,30904.902
Armenia,,,,,,,,,,,,,1624.695,1463.386,1613.662,1818.53,1978.274,2100.428,2279.048,2399.862,2606.305,2936.416,3434.98,4008.133,4561.759,5404.495,6327.576,7416.799,8111.332,7031.813,7281.837,7778.182,9093.972,9563.81,9792.081,9753.364,10502.091,11974.031,12946.094,14213.451,13323.293,14661.27,15817.948,16946.672,18126.397,19328.853,20594.377,21946.513
Aruba,,,,,,,12181.911,14654.887,17897.9,20427.181,21194.78,22792.221,23842.409,24526.808,25740.59,26192.401,25960.867,27187.767,27359.068,27746.102,30241.96,31916.674,31886.383,32504.721,35055.116,35095.168,35934.148,37762.816,38895.618,34339.55,33713.113,35247.821,33967.263,35714.984,35398.96,35642.671,35715.501,36971.026,38126.424,37748.25,29980.68,36338.67,39508.046,42025.628,43958.881,45391.56,46804.767,48270.228
Australia,10497.998,11776.542,12307.702,12569.118,13677.996,14671.443,15106.943,15984.584,16949.739,18159.013,18859.776,19070.798,19802.485,20877.184,22138.34,22980.113,24064.666,25357.899,26554.989,27782.829,28953.712,30009.824,31393.739,32610.383,34481.213,36148.812,37649.611,39608.452,40516.346,40814.372,41726.568,43118.043,42902.942,46522.635,46990.142,46343.247,48048.644,49633.237,51400.721,52557.034,51776.718,56403.077,61941.004,64591.76,66817.978,68898.546,71143.311,73547.969
