"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,582.323,586.204,611.268,,,,,,,
Albania,728.359,817.734,824.542,815.529,788.332,788.801,855.724,832.245,805.046,860.784,675.736,408.022,259.75,452.623,736.028,903.989,1009.967,717.381,818.32,1032.264,1127.64,1283.573,1425.125,1846.119,2373.58,2673.773,2972.745,3595.053,4370.562,4114.09,4097.833,4439.89,4248.909,4415.6,4584.919,3953.611,4124.405,4525.887,5257.714,5345.058,5268.239,6374.786,6259.602,6668.8,7137.402,7611.992,8100.264,8596.948
Algeria,2268.607,2305.505,2254.328,2316.679,2432.717,2753.697,2698.915,2705.111,2143.742,2127.866,2473.512,1819.984,1873.422,1894.946,1542.974,1499.143,1643.265,1658.732,1633.09,1630.071,1794.695,1768.577,1806.86,2128.386,2636.479,3141.027,3508.959,3986.564,4943.502,3890.524,4480.719,5447.6,5575.653,5477.055,5466.329,4153.322,3918.941,4079.653,4118.839,3939.536,3365.933,3701.204,4294.418,4361.867,4413.438,4531.981,4677.246,4798.695
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49030.229,51957.313,45713.97,45630.195,46299.282,38877.485,39595.317,40017.741,42229.903,40688.491,36973.845,41873.06,41930.271,43303.3,44555.049,45539.555,46493.585,47309.465
Angola,745.119,679.02,661.52,671.804,693.779,758.525,690.446,769.563,812.794,920.268,986.639,928.506,695.059,489.755,346.239,419.529,525.403,599.077,493.041,452.677,652.11,619.697,841.42,951.969,1222.038,1862.424,2561.859,3099.087,4081.688,3146.802,3641.444,4716.253,5245.023,5436.516,5625.736,4354.921,3676.826,4300.097,3465.062,2805.261,1877.251,2330.722,3792.754,3932.157,4028.671,4179.244,4303.297,4388.948
Antigua and Barbuda,1920.249,2177.087,2448.585,2752.968,3200.985,3763.974,4617.61,5455.264,6547.259,7273.247,7623.434,7927.588,8084.427,8474.038,9097.243,8675.237,9266.473,9678.32,10074.75,10349.52,10931.312,10411.422,10485.776,10921.845,11613.334,12785.872,14317.674,16060.877,16574.257,14688.677,13574.44,13295.364,13825.317,13414.902,13980.61,14728.706,15588.535,15686.747,16902.149,17495.76,13997.537,14684.798,16085.42,17300.45,18342.356,19204.086,19863.308,20332.008
Argentina,8361.209,6671.428,3257.853,3962.735,4374.783,3248.745,3857.027,3909.984,4524.498,2867.307,4857.796,6429.454,7653.711,7796.24,8378.735,8295.123,8645.455,9196.516,9283.175,8709.072,8638.543,8085.356,2997.621,3761.088,4314.098,5163.55,5976.082,7315.726,9146.79,8337.811,10412.974,12787.806,13889.792,14488.829,13208.831,14895.316,12772.868,14618.327,11786.433,10054.023,8571.937,10658.458,12187.297,12266.718,12152.26,12325.935,12793.686,13279.344
Armenia,,,,,,,,,,,,,31.321,247.884,196.98,399.576,503.774,521.869,608.415,597.241,620.638,692.287,779.122,923.387,1180.399,1628.063,2128.151,3079.031,3913.436,2911.763,3121.778,3417.172,3575.529,3732.035,3889.004,3529.026,3524,3868.906,4195.963,4596.861,4267.487,4701.403,4741.429,5346.743,5824.231,6201.435,6656.18,7169.937
Aruba,,,,,,,,,,,,,,,,16548.717,16620.854,17750.489,18825.012,19215.013,20681.023,20740.133,21307.248,21949.486,23700.632,24172.085,24845.658,26736.576,28172.189,25134.771,24084.879,25656.881,25006.763,25641.782,25883.616,27126.62,27036.925,27897.42,28727.937,29505.344,22483.486,27118.433,28862.749,30239.238,31317.857,32109.757,32901.864,33713.511
Australia,10999.565,12519.38,12225.953,11583.63,12566.011,10959.679,11237.104,12989.233,16234.269,18190.568,18858.838,18655.849,18106.073,17446.953,19735.347,20907.331,23152.598,23022.398,20373.636,21746.809,20877.997,19472.573,21682.32,27281.688,32841.397,36215.274,37927.367,45156.324,49167.075,45733.768,56538.759,67252.346,68440.963,65198.329,61611.385,51413.662,51821.817,55785.497,56293.332,54254.857,52847.678,63529.289,67464.386,69717.117,72187.634,74353.744,76773.691,79345.787
